"filename", "language", "PHP", "SCSS", "JavaScript", "CSS", "XML", "Vue", "comment", "blank", "total"
"c:\laragon\www\market_place\resources\js\Pages\Public\About.vue", "Vue", 0, 0, 0, 0, 0, 12, 0, 3, 15
"c:\laragon\www\market_place\resources\js\Pages\Public\Account.vue", "Vue", 0, 0, 0, 0, 0, 12, 0, 3, 15
"c:\laragon\www\market_place\resources\js\Pages\Public\Articles.vue", "Vue", 0, 0, 0, 0, 0, 12, 0, 3, 15
"c:\laragon\www\market_place\resources\js\Pages\Public\Boutiques.vue", "Vue", 0, 0, 0, 0, 0, 362, 5, 31, 398
"c:\laragon\www\market_place\resources\js\Pages\Public\Promotions.vue", "Vue", 0, 0, 0, 0, 0, 12, 0, 3, 15
"c:\laragon\www\market_place\resources\js\Pages\Test.vue", "Vue", 0, 0, 0, 0, 0, 27, 0, 8, 35
"c:\laragon\www\market_place\resources\js\Pages\test-payment.vue", "Vue", 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\laragon\www\market_place\resources\js\app.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\laragon\www\market_place\resources\js\bootstrap.js", "JavaScript", 0, 0, 4, 0, 0, 0, 22, 8, 34
"c:\laragon\www\market_place\resources\js\store\AuthUserStore.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 4, 22
"c:\laragon\www\market_place\resources\js\store\formDatas.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 10, 33
"c:\laragon\www\market_place\resources\js\store\index.js", "JavaScript", 0, 0, 8, 0, 0, 0, 4, 10, 22
"c:\laragon\www\market_place\resources\js\store\modules\SettingStore.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\laragon\www\market_place\resources\js\store\modules\requests.js", "JavaScript", 0, 0, 23, 0, 0, 0, 2, 7, 32
"c:\laragon\www\market_place\resources\sass\_variables.scss", "SCSS", 0, 4, 0, 0, 0, 0, 2, 2, 8
"c:\laragon\www\market_place\resources\sass\app.scss", "SCSS", 0, 4, 0, 0, 0, 0, 9, 4, 17
"c:\laragon\www\market_place\resources\views\app.blade.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 3, 35
"Total", "-", 32, 8, 391, 2602, 9026, 3198, 157, 779, 16193
